fund_number,fund_name,price_date,price,guarantee,guarantee_type,fund_ind,hr_indicator,aegon_fund,M1,M2,M3
272,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
273,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
274,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
275,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
276,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
277,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
278,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
279,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
280,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
281,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
282,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
283,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
284,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
285,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
286,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
287,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
288,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
289,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
290,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
291,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
292,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
293,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
294,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
295,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
296,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
297,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
298,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
299,0,01/01/2023,1.0,0,0,0,0,0,1.042811191271335,1.0415210433841995,1.0415210433841995
300,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
301,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
302,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
303,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
304,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
305,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
306,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
